"Tipo","Vol","Nome do produto","Categoria","Tags","Descricao curta","Descricao longa (HTML)","Preco (BRL)","Preco (centavos)","Ciclo de cobranca","Tipo de entrega","Arquivo PDF","ID externo"
"digital","01","Vol. 01 · Hábitos Atômicos — Resumo Leitura Breve","Comportamento","Comportamento; Desenvolvimento pessoal; James Clear; Leitura Breve","Resumo editorial de ""Hábitos Atômicos"" (James Clear). 25-39 páginas com tese, capítulos comentados, citações e caderno de leitura.","<h2>Resumo editorial de <em>Hábitos Atômicos</em></h2> <p><strong>Autor:</strong> James Clear<br> <strong>Categoria:</strong> Comportamento · Desenvolvimento pessoal<br> <strong>Coleção:</strong> Leitura Breve · Vol. 01</p>  <h3>A tese, em uma frase</h3> <p><em>Você não se eleva ao nível das suas metas — cai ao nível dos seus sistemas.</em></p>  <h3>O que você recebe</h3> <ul>   <li>Resumo editorial completo em PDF (formato A4, design minimalista moderno)</li>   <li>Tese central destacada</li>   <li>Capítulos comentados com pontos-chave</li>   <li>Citações em destaque (parede de citações)</li>   <li>Insights e inversões</li>   <li>Aplicação prática (passo a passo)</li>   <li>Cronograma de 4 semanas para implantar as ideias</li>   <li>Caderno de leitura com espaço para anotações</li>   <li>Provocações pessoais para reflexão</li> </ul>  <h3>Para quem é</h3> <ul>   <li>Quem quer entender a essência do livro em uma sessão de leitura</li>   <li>Quem já leu e quer um caderno de revisão</li>   <li>Quem prefere aplicar ideias a apenas ler sobre elas</li> </ul>  <blockquote>""Hábitos são os juros compostos do autoaperfeiçoamento."" — James Clear</blockquote>  <p>Parte da <strong>Coleção Leitura Breve</strong> — 38 volumes editoriais sobre os bestsellers que mais venderam no Brasil. Cada volume é um caderno completo, pensado para uma única sessão de leitura.</p>","R$ 19,90","1990","","download","Habitos_Atomicos_Resumo.pdf","leitura_breve_vol_01"
"digital","02","Vol. 02 · O Alquimista — Resumo Leitura Breve","Fábula","Fábula; Filosófico; Literatura brasileira; Paulo Coelho; Leitura Breve","Resumo editorial de ""O Alquimista"" (Paulo Coelho). 25-39 páginas com tese, capítulos comentados, citações e caderno de leitura.","<h2>Resumo editorial de <em>O Alquimista</em></h2> <p><strong>Autor:</strong> Paulo Coelho<br> <strong>Categoria:</strong> Fábula · Filosófico · Literatura brasileira<br> <strong>Coleção:</strong> Leitura Breve · Vol. 02</p>  <h3>A tese, em uma frase</h3> <p><em>Quando você quer alguma coisa, todo o universo conspira para que você realize o seu desejo.</em></p>  <h3>O que você recebe</h3> <ul>   <li>Resumo editorial completo em PDF (formato A4, design minimalista moderno)</li>   <li>Tese central destacada</li>   <li>Capítulos comentados com pontos-chave</li>   <li>Citações em destaque (parede de citações)</li>   <li>Insights e inversões</li>   <li>Aplicação prática (passo a passo)</li>   <li>Cronograma de 4 semanas para implantar as ideias</li>   <li>Caderno de leitura com espaço para anotações</li>   <li>Provocações pessoais para reflexão</li> </ul>  <h3>Para quem é</h3> <ul>   <li>Quem quer entender a essência do livro em uma sessão de leitura</li>   <li>Quem já leu e quer um caderno de revisão</li>   <li>Quem prefere aplicar ideias a apenas ler sobre elas</li> </ul>  <blockquote>""Maktub. Está escrito."" — Paulo Coelho</blockquote>  <p>Parte da <strong>Coleção Leitura Breve</strong> — 38 volumes editoriais sobre os bestsellers que mais venderam no Brasil. Cada volume é um caderno completo, pensado para uma única sessão de leitura.</p>","R$ 19,90","1990","","download","O_Alquimista_Resumo.pdf","leitura_breve_vol_02"
"digital","03","Vol. 03 · A Sutil Arte de Ligar o F*da-Se — Resumo Leitura Breve","Desenvolvimento pessoal","Desenvolvimento pessoal; Contraintuitivo; Mark Manson; Leitura Breve","Resumo editorial de ""A Sutil Arte de Ligar o F*da-Se"" (Mark Manson). 25-39 páginas com tese, capítulos comentados, citações e caderno de leitura.","<h2>Resumo editorial de <em>A Sutil Arte de Ligar o F*da-Se</em></h2> <p><strong>Autor:</strong> Mark Manson<br> <strong>Categoria:</strong> Desenvolvimento pessoal · Contraintuitivo<br> <strong>Coleção:</strong> Leitura Breve · Vol. 03</p>  <h3>A tese, em uma frase</h3> <p><em>Não dar a mínima não é apatia. É escolher exatamente sobre o que se importar.</em></p>  <h3>O que você recebe</h3> <ul>   <li>Resumo editorial completo em PDF (formato A4, design minimalista moderno)</li>   <li>Tese central destacada</li>   <li>Capítulos comentados com pontos-chave</li>   <li>Citações em destaque (parede de citações)</li>   <li>Insights e inversões</li>   <li>Aplicação prática (passo a passo)</li>   <li>Cronograma de 4 semanas para implantar as ideias</li>   <li>Caderno de leitura com espaço para anotações</li>   <li>Provocações pessoais para reflexão</li> </ul>  <h3>Para quem é</h3> <ul>   <li>Quem quer entender a essência do livro em uma sessão de leitura</li>   <li>Quem já leu e quer um caderno de revisão</li>   <li>Quem prefere aplicar ideias a apenas ler sobre elas</li> </ul>  <blockquote>""Escolha o seu sofrimento."" — Mark Manson</blockquote>  <p>Parte da <strong>Coleção Leitura Breve</strong> — 38 volumes editoriais sobre os bestsellers que mais venderam no Brasil. Cada volume é um caderno completo, pensado para uma única sessão de leitura.</p>","R$ 19,90","1990","","download","A_Sutil_Arte_Resumo.pdf","leitura_breve_vol_03"
"digital","04","Vol. 04 · O Poder do Hábito — Resumo Leitura Breve","Comportamento","Comportamento; Neurociência; Negócios; Charles Duhigg; Leitura Breve","Resumo editorial de ""O Poder do Hábito"" (Charles Duhigg). 25-39 páginas com tese, capítulos comentados, citações e caderno de leitura.","<h2>Resumo editorial de <em>O Poder do Hábito</em></h2> <p><strong>Autor:</strong> Charles Duhigg<br> <strong>Categoria:</strong> Comportamento · Neurociência · Negócios<br> <strong>Coleção:</strong> Leitura Breve · Vol. 04</p>  <h3>A tese, em uma frase</h3> <p><em>Todo hábito é um loop deixa → rotina → recompensa. Compreender o loop é o começo de transformá-lo.</em></p>  <h3>O que você recebe</h3> <ul>   <li>Resumo editorial completo em PDF (formato A4, design minimalista moderno)</li>   <li>Tese central destacada</li>   <li>Capítulos comentados com pontos-chave</li>   <li>Citações em destaque (parede de citações)</li>   <li>Insights e inversões</li>   <li>Aplicação prática (passo a passo)</li>   <li>Cronograma de 4 semanas para implantar as ideias</li>   <li>Caderno de leitura com espaço para anotações</li>   <li>Provocações pessoais para reflexão</li> </ul>  <h3>Para quem é</h3> <ul>   <li>Quem quer entender a essência do livro em uma sessão de leitura</li>   <li>Quem já leu e quer um caderno de revisão</li>   <li>Quem prefere aplicar ideias a apenas ler sobre elas</li> </ul>  <blockquote>""A vida toda, tal como a conhecemos, é uma massa de hábitos."" — Charles Duhigg</blockquote>  <p>Parte da <strong>Coleção Leitura Breve</strong> — 38 volumes editoriais sobre os bestsellers que mais venderam no Brasil. Cada volume é um caderno completo, pensado para uma única sessão de leitura.</p>","R$ 19,90","1990","","download","Vol_04_poder_habito.pdf","leitura_breve_vol_04"
"digital","05","Vol. 05 · Mindset — Resumo Leitura Breve","Psicologia","Psicologia; Educação; Aprendizagem; Carol S. Dweck; Leitura Breve","Resumo editorial de ""Mindset"" (Carol S. Dweck). 25-39 páginas com tese, capítulos comentados, citações e caderno de leitura.","<h2>Resumo editorial de <em>Mindset</em></h2> <p><strong>Autor:</strong> Carol S. Dweck<br> <strong>Categoria:</strong> Psicologia · Educação · Aprendizagem<br> <strong>Coleção:</strong> Leitura Breve · Vol. 05</p>  <h3>A tese, em uma frase</h3> <p><em>Não é o talento que define a sua trajetória, é a mentalidade com que você encara o esforço, a falha e a crítica.</em></p>  <h3>O que você recebe</h3> <ul>   <li>Resumo editorial completo em PDF (formato A4, design minimalista moderno)</li>   <li>Tese central destacada</li>   <li>Capítulos comentados com pontos-chave</li>   <li>Citações em destaque (parede de citações)</li>   <li>Insights e inversões</li>   <li>Aplicação prática (passo a passo)</li>   <li>Cronograma de 4 semanas para implantar as ideias</li>   <li>Caderno de leitura com espaço para anotações</li>   <li>Provocações pessoais para reflexão</li> </ul>  <h3>Para quem é</h3> <ul>   <li>Quem quer entender a essência do livro em uma sessão de leitura</li>   <li>Quem já leu e quer um caderno de revisão</li>   <li>Quem prefere aplicar ideias a apenas ler sobre elas</li> </ul>  <blockquote>""O passe que você consegue dar não é mais importante do que o passe que você ainda não consegue dar."" — Carol S. Dweck</blockquote>  <p>Parte da <strong>Coleção Leitura Breve</strong> — 38 volumes editoriais sobre os bestsellers que mais venderam no Brasil. Cada volume é um caderno completo, pensado para uma única sessão de leitura.</p>","R$ 19,90","1990","","download","Vol_05_mindset.pdf","leitura_breve_vol_05"
"digital","06","Vol. 06 · O Milagre da Manhã — Resumo Leitura Breve","Rotina","Rotina; Disciplina; Manhã; Hal Elrod; Leitura Breve","Resumo editorial de ""O Milagre da Manhã"" (Hal Elrod). 25-39 páginas com tese, capítulos comentados, citações e caderno de leitura.","<h2>Resumo editorial de <em>O Milagre da Manhã</em></h2> <p><strong>Autor:</strong> Hal Elrod<br> <strong>Categoria:</strong> Rotina · Disciplina · Manhã<br> <strong>Coleção:</strong> Leitura Breve · Vol. 06</p>  <h3>A tese, em uma frase</h3> <p><em>A forma como você acorda determina a qualidade do seu dia.</em></p>  <h3>O que você recebe</h3> <ul>   <li>Resumo editorial completo em PDF (formato A4, design minimalista moderno)</li>   <li>Tese central destacada</li>   <li>Capítulos comentados com pontos-chave</li>   <li>Citações em destaque (parede de citações)</li>   <li>Insights e inversões</li>   <li>Aplicação prática (passo a passo)</li>   <li>Cronograma de 4 semanas para implantar as ideias</li>   <li>Caderno de leitura com espaço para anotações</li>   <li>Provocações pessoais para reflexão</li> </ul>  <h3>Para quem é</h3> <ul>   <li>Quem quer entender a essência do livro em uma sessão de leitura</li>   <li>Quem já leu e quer um caderno de revisão</li>   <li>Quem prefere aplicar ideias a apenas ler sobre elas</li> </ul>  <blockquote>""O nível de sucesso que você alcança raramente ultrapassa o nível do seu desenvolvimento pessoal."" — Hal Elrod</blockquote>  <p>Parte da <strong>Coleção Leitura Breve</strong> — 38 volumes editoriais sobre os bestsellers que mais venderam no Brasil. Cada volume é um caderno completo, pensado para uma única sessão de leitura.</p>","R$ 19,90","1990","","download","Vol_06_milagre_manha.pdf","leitura_breve_vol_06"
"digital","07","Vol. 07 · Pai Rico, Pai Pobre — Resumo Leitura Breve","Finanças","Finanças; Educação financeira; Mentalidade; Robert T. Kiyosaki; Leitura Breve","Resumo editorial de ""Pai Rico, Pai Pobre"" (Robert T. Kiyosaki). 25-39 páginas com tese, capítulos comentados, citações e caderno de leitura.","<h2>Resumo editorial de <em>Pai Rico, Pai Pobre</em></h2> <p><strong>Autor:</strong> Robert T. Kiyosaki<br> <strong>Categoria:</strong> Finanças · Educação financeira · Mentalidade<br> <strong>Coleção:</strong> Leitura Breve · Vol. 07</p>  <h3>A tese, em uma frase</h3> <p><em>Não é o quanto você ganha — é o quanto você guarda, faz crescer e quantas gerações você banca com isso.</em></p>  <h3>O que você recebe</h3> <ul>   <li>Resumo editorial completo em PDF (formato A4, design minimalista moderno)</li>   <li>Tese central destacada</li>   <li>Capítulos comentados com pontos-chave</li>   <li>Citações em destaque (parede de citações)</li>   <li>Insights e inversões</li>   <li>Aplicação prática (passo a passo)</li>   <li>Cronograma de 4 semanas para implantar as ideias</li>   <li>Caderno de leitura com espaço para anotações</li>   <li>Provocações pessoais para reflexão</li> </ul>  <h3>Para quem é</h3> <ul>   <li>Quem quer entender a essência do livro em uma sessão de leitura</li>   <li>Quem já leu e quer um caderno de revisão</li>   <li>Quem prefere aplicar ideias a apenas ler sobre elas</li> </ul>  <blockquote>""Os ricos compram ativos. Os pobres só têm despesas."" — Robert T. Kiyosaki</blockquote>  <p>Parte da <strong>Coleção Leitura Breve</strong> — 38 volumes editoriais sobre os bestsellers que mais venderam no Brasil. Cada volume é um caderno completo, pensado para uma única sessão de leitura.</p>","R$ 19,90","1990","","download","Vol_07_pai_rico.pdf","leitura_breve_vol_07"
"digital","08","Vol. 08 · Os 7 Hábitos das Pessoas Altamente Eficazes — Resumo Leitura Breve","Liderança","Liderança; Eficácia; Princípios; Stephen R. Covey; Leitura Breve","Resumo editorial de ""Os 7 Hábitos das Pessoas Altamente Eficazes"" (Stephen R. Covey). 25-39 páginas com tese, capítulos comentados, citações e caderno de leitura.","<h2>Resumo editorial de <em>Os 7 Hábitos das Pessoas Altamente Eficazes</em></h2> <p><strong>Autor:</strong> Stephen R. Covey<br> <strong>Categoria:</strong> Liderança · Eficácia · Princípios<br> <strong>Coleção:</strong> Leitura Breve · Vol. 08</p>  <h3>A tese, em uma frase</h3> <p><em>Eficácia é caráter — não técnica. E caráter se constrói por princípios universais postos em hábito.</em></p>  <h3>O que você recebe</h3> <ul>   <li>Resumo editorial completo em PDF (formato A4, design minimalista moderno)</li>   <li>Tese central destacada</li>   <li>Capítulos comentados com pontos-chave</li>   <li>Citações em destaque (parede de citações)</li>   <li>Insights e inversões</li>   <li>Aplicação prática (passo a passo)</li>   <li>Cronograma de 4 semanas para implantar as ideias</li>   <li>Caderno de leitura com espaço para anotações</li>   <li>Provocações pessoais para reflexão</li> </ul>  <h3>Para quem é</h3> <ul>   <li>Quem quer entender a essência do livro em uma sessão de leitura</li>   <li>Quem já leu e quer um caderno de revisão</li>   <li>Quem prefere aplicar ideias a apenas ler sobre elas</li> </ul>  <blockquote>""Entre estímulo e resposta há um espaço. Nesse espaço está a nossa liberdade."" — Stephen R. Covey</blockquote>  <p>Parte da <strong>Coleção Leitura Breve</strong> — 38 volumes editoriais sobre os bestsellers que mais venderam no Brasil. Cada volume é um caderno completo, pensado para uma única sessão de leitura.</p>","R$ 19,90","1990","","download","Vol_08_sete_habitos.pdf","leitura_breve_vol_08"
"digital","09","Vol. 09 · Como Fazer Amigos e Influenciar Pessoas — Resumo Leitura Breve","Comunicação","Comunicação; Relações; Persuasão; Dale Carnegie; Leitura Breve","Resumo editorial de ""Como Fazer Amigos e Influenciar Pessoas"" (Dale Carnegie). 25-39 páginas com tese, capítulos comentados, citações e caderno de leitura.","<h2>Resumo editorial de <em>Como Fazer Amigos e Influenciar Pessoas</em></h2> <p><strong>Autor:</strong> Dale Carnegie<br> <strong>Categoria:</strong> Comunicação · Relações · Persuasão<br> <strong>Coleção:</strong> Leitura Breve · Vol. 09</p>  <h3>A tese, em uma frase</h3> <p><em>Quase todo conflito humano nasce da necessidade não atendida de se sentir importante.</em></p>  <h3>O que você recebe</h3> <ul>   <li>Resumo editorial completo em PDF (formato A4, design minimalista moderno)</li>   <li>Tese central destacada</li>   <li>Capítulos comentados com pontos-chave</li>   <li>Citações em destaque (parede de citações)</li>   <li>Insights e inversões</li>   <li>Aplicação prática (passo a passo)</li>   <li>Cronograma de 4 semanas para implantar as ideias</li>   <li>Caderno de leitura com espaço para anotações</li>   <li>Provocações pessoais para reflexão</li> </ul>  <h3>Para quem é</h3> <ul>   <li>Quem quer entender a essência do livro em uma sessão de leitura</li>   <li>Quem já leu e quer um caderno de revisão</li>   <li>Quem prefere aplicar ideias a apenas ler sobre elas</li> </ul>  <blockquote>""Você pode fazer mais amigos em dois meses interessando-se pelos outros do que em dois anos tentando o contrário."" — Dale Carnegie</blockquote>  <p>Parte da <strong>Coleção Leitura Breve</strong> — 38 volumes editoriais sobre os bestsellers que mais venderam no Brasil. Cada volume é um caderno completo, pensado para uma única sessão de leitura.</p>","R$ 19,90","1990","","download","Vol_09_amigos.pdf","leitura_breve_vol_09"
"digital","10","Vol. 10 · O Homem Mais Rico da Babilônia — Resumo Leitura Breve","Finanças","Finanças; Parábola; Sabedoria antiga; George S. Clason; Leitura Breve","Resumo editorial de ""O Homem Mais Rico da Babilônia"" (George S. Clason). 25-39 páginas com tese, capítulos comentados, citações e caderno de leitura.","<h2>Resumo editorial de <em>O Homem Mais Rico da Babilônia</em></h2> <p><strong>Autor:</strong> George S. Clason<br> <strong>Categoria:</strong> Finanças · Parábola · Sabedoria antiga<br> <strong>Coleção:</strong> Leitura Breve · Vol. 10</p>  <h3>A tese, em uma frase</h3> <p><em>Riqueza não é mistério antigo nem privilégio moderno — é uma técnica simples que poucos têm a paciência de aplicar.</em></p>  <h3>O que você recebe</h3> <ul>   <li>Resumo editorial completo em PDF (formato A4, design minimalista moderno)</li>   <li>Tese central destacada</li>   <li>Capítulos comentados com pontos-chave</li>   <li>Citações em destaque (parede de citações)</li>   <li>Insights e inversões</li>   <li>Aplicação prática (passo a passo)</li>   <li>Cronograma de 4 semanas para implantar as ideias</li>   <li>Caderno de leitura com espaço para anotações</li>   <li>Provocações pessoais para reflexão</li> </ul>  <h3>Para quem é</h3> <ul>   <li>Quem quer entender a essência do livro em uma sessão de leitura</li>   <li>Quem já leu e quer um caderno de revisão</li>   <li>Quem prefere aplicar ideias a apenas ler sobre elas</li> </ul>  <blockquote>""Uma parte de tudo o que você ganha é sua para guardar."" — George S. Clason</blockquote>  <p>Parte da <strong>Coleção Leitura Breve</strong> — 38 volumes editoriais sobre os bestsellers que mais venderam no Brasil. Cada volume é um caderno completo, pensado para uma única sessão de leitura.</p>","R$ 19,90","1990","","download","Vol_10_babilonia.pdf","leitura_breve_vol_10"
